distance_m,lat,lon,elev_dem_m,delta_elev_m,grade_raw,grade_smoothed,grade_raw_pct,grade_smoothed_pct
8600,-12.43357745,130.8950474,26.76439489,-6.132198344,-0.061321983,-0.025270065,-6.132198344,-2.527006476
8700,-12.43403555,130.8958394,20.63219654,-4.235104961,-0.04235105,-0.036060236,-4.235104961,-3.606023588
8800,-12.43455104,130.8965949,16.39709158,-2.384195936,-0.023841959,-0.038858148,-2.384195936,-3.885814751
8900,-12.43509055,130.8973326,14.01289564,-2.791759762,-0.027917598,-0.023133545,-2.791759762,-2.313354484
9000,-12.43563623,130.8980657,11.22113588,0.157642722,0.001576427,-0.009029516,0.157642722,-0.902951607
9100,-12.43617951,130.8988008,11.3787786,1.406506546,0.014065065,0.005234241,1.406506546,0.523424118
9200,-12.43672577,130.8995336,12.78528515,3.321306965,0.03321307,0.02530932,3.321306965,2.530931988
9300,-12.43725631,130.9002782,16.10659212,5.238271718,0.052382717,0.041030301,5.238271718,4.103030059
9400,-12.43776253,130.9010399,21.34486383,6.446035008,0.06446035,0.046542736,6.446035008,4.654273645
9500,-12.43821706,130.9018344,27.79089884,3.611480888,0.036114809,0.042897273,3.611480888,4.289727257
9600,-12.43859261,130.9026707,31.40237973,1.863121413,0.018631214,0.036539189,1.863121413,3.653918943
9700,-12.43890382,130.9035337,33.26550114,2.695038463,0.026950385,0.024316384,2.695038463,2.431638445
9800,-12.43914662,130.9044192,35.96053961,1.556913016,0.01556913,0.014059135,1.556913016,1.405913539
9900,-12.4393231,130.905321,37.51745262,-0.491418737,-0.004914187,0.008922985,-0.491418737,0.892298541
10000,-12.43947292,130.9062281,37.02603388,-0.191338579,-0.001913386,-0.002909046,-0.191338579,-0.290904573
10100,-12.43962066,130.9071355,36.8346953,-2.037773991,-0.02037774,-0.008724264,-2.037773991,-0.872426394
10200,-12.43976797,130.908043,34.79692131,-0.769174266,-0.007691743,-0.009113265,-0.769174266,-0.911326467
10300,-12.43992359,130.9089489,34.02774705,-0.647019033,-0.00647019,-0.014555064,-0.647019033,-1.455506399
10400,-12.44014649,130.90984,33.38072801,-2.368058307,-0.023680583,-0.019827351,-2.368058307,-1.982735082
10500,-12.44043167,130.9107125,31.01266971,-4.14668872,-0.041466887,-0.034049875,-4.14668872,-3.404987485
10600,-12.44079065,130.9115565,26.86598099,-6.458183881,-0.064581839,-0.042487192,-6.458183881,-4.248719203
10700,-12.44121177,130.9123698,20.40779711,-4.021945904,-0.040219459,-0.043904124,-4.021945904,-4.390412426
10800,-12.44169543,130.9131464,16.3858512,-2.934831197,-0.029348312,-0.033774925,-2.934831197,-3.377492546
10900,-12.44223526,130.9138837,13.45102,-0.095009201,-0.000950092,-0.016938295,-0.095009201,-1.693829518
11000,-12.44279489,130.9146061,13.3560108,0.27646823,0.002764682,-0.009068987,0.27646823,-0.906898736
11100,-12.44335568,130.9153274,13.63247903,-0.874222776,-0.008742228,-0.000319321,-0.874222776,-0.031932147
11200,-12.44391862,130.9160469,12.75825626,0.565035157,0.005650352,0.003617095,0.565035157,0.361709531
11300,-12.4445618,130.9166921,13.32329142,1.479557513,0.014795575,0.006598997,1.479557513,0.659899735
11400,-12.44524043,130.9172996,14.80284893,1.469229047,0.01469229,0.010232007,1.469229047,1.023200696
11500,-12.44589504,130.9179335,16.27207798,0.578981066,0.005789811,0.011397207,0.578981066,1.13972066
11600,-12.44649947,130.9186171,16.85105904,1.031115014,0.01031115,0.02153461,1.031115014,2.153460953
11700,-12.44703604,130.9193567,17.88217406,5.534518683,0.055345187,0.020584432,5.534518683,2.05844317
11800,-12.44750504,130.9201426,23.41669274,1.089157915,0.010891579,0.006735359,1.089157915,0.673535883
11900,-12.4479016,130.9209686,24.50585065,-4.96064808,-0.049606481,0.001589076,-4.96064808,0.158907614
12000,-12.44820753,130.9218337,19.54520257,-1.027398061,-0.010273981,-0.011299414,-1.027398061,-1.129941386
12100,-12.44844296,130.9227216,18.51780451,0.37912268,0.003791227,-0.013205967,0.37912268,-1.320596668
12200,-12.44867796,130.9236097,18.89692719,0.326536788,0.003265368,-0.003120067,0.326536788,-0.31200672
12300,-12.44895241,130.924486,19.22346398,-0.926288288,-0.009262883,0.001615109,-0.926288288,0.161510879
12400,-12.4492725,130.925346,18.29717569,0.866672336,0.008666723,0.003785697,0.866672336,0.378569672
12500,-12.44960626,130.9262008,19.16384803,1.247357853,0.012473579,0.003933018,1.247357853,0.393301752
12600,-12.44992877,130.9270601,20.41120588,0.385465107,0.003854651,0.008504943,0.385465107,0.850494342
12700,-12.4502204,130.9279307,20.79667099,0.902482073,0.009024821,0.009539184,0.902482073,0.953918425
12800,-12.4504983,130.9288059,21.69915306,1.280368666,0.012803687,0.010936492,1.280368666,1.093649194
12900,-12.45078274,130.929679,22.97952173,1.806280929,0.018062809,0.016377567,1.806280929,1.637756728
13000,-12.45106802,130.9305518,24.78580266,2.561895241,0.025618952,0.020866451,2.561895241,2.08664512
13100,-12.45135079,130.9314254,27.3476979,2.698035643,0.026980356,0.011662081,2.698035643,1.166208108
13200,-12.45162868,130.9323007,30.04573354,-2.40137938,-0.024013794,0.004173508,-2.40137938,0.417350825
