dist_km,elev_m,slope_pct,headwind_ms
13.7,16.24052784,-0.10244837366243048,0.0
13.8,15.14104546,-0.02116553635668952,0.0
13.9,13.8200461,0.03376206436867276,0.0
14.0,13.32562658,0.08053744189939352,0.0
14.1,14.0791989,0.16215080805819612,0.0
14.2,13.32421756,0.2446787148407381,0.0
14.3,12.86543919,0.30199809026226454,0.0
14.4,12.92142333,0.2809217672278408,0.0
14.5,12.14871905,0.2019179806940258,0.0
14.6,12.21433986,0.13419297452645937,0.0
14.7,12.71538262,0.08699186746457599,0.0
14.8,14.17857048,0.0464303651846753,0.0
14.9,14.2738139,-0.006959754519833658,0.0
15.0,13.09550903,-0.019303425686862854,0.0
15.1,13.64876645,0.027932276762452093,0.0
15.2,14.47074063,0.0850660623485652,0.0
15.3,15.55031997,0.11446992506752623,0.0
15.4,15.55762757,0.1307636690871035,0.0
15.5,16.23479226,0.20752804067867603,0.0
15.6,15.62386888,0.306725413309475,0.0
15.7,15.17993991,0.29356057789679685,0.0
15.8,15.89812471,0.2403209308789953,0.0
15.9,16.20095107,0.23404087977840685,0.0
16.0,16.73321061,0.2538824758560551,0.0
16.1,18.0274899,0.26232757579573884,0.0
16.2,18.1447227,0.26741545320725635,0.0
16.3,19.25157434,0.31669421456877844,0.0
16.4,20.86262921,0.36553577890560973,0.0
16.5,22.40687054,0.39552924567205,0.0
16.6,23.33435138,0.434618570619117,0.0
16.7,26.82780779,0.4903853317732512,0.0
16.8,29.62305247,0.5597858618920867,0.0
16.9,31.59410255,0.6594589141356636,0.0
17.0,32.92566823,0.7086447904357329,0.0
17.1,32.93764487,0.7058168717999338,0.0
17.2,33.0844537,0.6689761269806127,0.0
17.3,33.94861856,0.6086866697723196,0.0
17.4,34.09391363,0.5905174111473855,0.0
17.5,32.75012391,0.5806881841377163,0.0
17.6,30.56839486,0.5905018885788719,0.0
17.7,26.77208894,0.6251467828376008,0.0
17.8,25.96033453,0.6893708701987976,0.0
17.9,25.86935797,0.7600462664287705,0.0
18.0,26.18131853,0.7747910819237035,0.0
18.1,27.41175905,0.7507278855375706,0.0
18.2,30.40693233,0.7214347346482356,0.0
18.3,32.57945567,0.6800909395621404,0.0
18.4,32.27095462,0.6152385253065149,0.0
18.5,31.16856028,0.5474489252727438,0.0
18.6,30.84052611,0.5143023222974646,0.0
18.7,31.61730111,0.5074523281583879,0.0
18.8,32.37000563,0.5130859172479717,0.0
18.9,33.05710869,0.5137074413822206,0.0
19.0,32.70537663,0.5023118724588272,0.0
19.1,33.70526314,0.4496790999005856,0.0
19.2,34.40632678,0.3376231059145056,0.0
19.3,36.00480791,0.2026344167321611,0.0
19.4,35.71923206,0.09126505147665398,0.0
19.5,37.13517644,0.02116309165822088,0.0
19.6,37.74233706,-0.03615381991485399,0.0
19.7,37.30746719,-0.0738231424624388,0.0
19.8,37.59979036,-0.09450917711929777,0.0
19.9,38.7652063,-0.10475750797971842,0.0
20.0,39.43457342,-0.1193335508420546,0.0
20.1,40.41073475,-0.12145795235669797,0.0
20.2,41.74932212,-0.11409675960879043,0.0
20.3,41.55893957,-0.11595817130602769,0.0
20.4,43.17330982,-0.06828667440222773,0.0
20.5,43.93865975,0.0034727440464735085,0.0
20.6,45.6229584,0.049283048888291305,0.0
20.7,45.289618,0.08065520079175031,0.0
20.8,45.36545447,0.10569630165834952,0.0
20.9,45.95658958,0.1251269938128786,0.0
